"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Ctenodactylus_gundi","RODENTIA","Herbivore","wild","LC",0,8.2737455552,0.00212671,0.0018,0.0840022343,0.0376118885,20.1529636729,0.077659834,0.3183098592,0.3891733723,0.0014084507,0.0029261156,0.2476325528,0.3293623752
"Ctenomys_sociabilis","RODENTIA","Herbivore","captive","CR",1,4.7727756828,0.00045567,0.0004,0.7915734979,0.0378525324,25.5523930889,0.07607027,0.2692307692,0.4699453552,0,0.0111111111,0.2281831943,0.3048598418
"Cuniculus_paca","RODENTIA","Herbivore","wild","LC",0,2.656226009,0.0056986,0.0075,0.1243459637,0.034107763,22.8299597993,0.068098098,0.3066666667,0.3130630631,0.0067114094,0,0.2289182283,0.2946539577
"Dasyprocta_punctata","RODENTIA","Omnivore","captive","LC",0,6.3975561229,0.00541289,0.0011,0.1260234347,0.0312602689,24.0362831586,0.069244593,0.220703125,0.3100940975,0.0029296875,0.0017115961,0.2266960838,0.3083067387
"Dasypus_novemcinctus","CINGULATA","Carnivore","NA","LC",0,2.0124519018,0.0029352,0.002,0.2273802323,0.0379974168,25.0222523649,0.088512144,0.323943662,0.488372093,0,0,0.267129545,0.3657743643
"Daubentonia_madagascariensis","PRIMATES","Omnivore","wild","EN",1,1.3066976356,0.0006939,0.0005,0.4581661047,0.022979456,24.8237509314,0.063350363,0.3380681818,0.4389359129,0.0028490028,0.0024183797,0.2432994112,0.3235684304
"Delphinapterus_leucas","CETARTIODACTYLA","Carnivore","captive","LC",0,0.0162344647,0.00090743,0.0006,0.1648732416,0.0367290775,22.9283464258,0.122688212,"NA",0.5714285714,"NA",0.0238095238,0.3208191126,0.3777164125
"Desmodus_rotundus","CHIROPTERA","Carnivore","captive","LC",0,6.9727814792,0.00694638,0.0075,0.043296866,0.0272964926,24.9522482608,0.06611928,0.2512838069,0.3188821211,0.002739726,0.0017921147,0.2156854664,0.316800015
"Dicerorhinus_sumatrensis","PERISSODACTYLA","Herbivore","wild","CR",1,0.9986524308,0.00143484,0.0014,0.357907229,0.0311420496,22.814966917,0.09187638,0.3703099511,0.4423368741,0,0.0037936267,0.2755507403,0.3550035357
"Diceros_bicornis","PERISSODACTYLA","Herbivore","wild","CR",1,0.8525930063,0.00160248,0.001,0.1857044045,0.0365540738,21.3771606902,0.106713959,0.3479923518,0.4179236912,0,0.0008880995,0.291179956,0.368071934
"Dinomys_branickii","RODENTIA","Herbivore","NA","LC",0,1.1294666864,0.00045156,0.0004,0.6270674755,0.0314219419,24.1422970487,0.081225273,0.3868613139,0.4736842105,0.0072992701,0,0.2437971106,0.3208821178
"Dipodomys_ordii","RODENTIA","Omnivore","NA","LC",0,"NA","NA","NA","NA",0.0395747239,17.9941552829,0.06771077,"NA","NA","NA","NA",0.1880602366,0.2617668356
"Dipodomys_stephensi","RODENTIA","Omnivore","NA","VU",1,4.9896881526,0.00142121,0.0006,0.2988828677,0.0328348156,23.134180474,0.063050083,0.2040816327,0.2285936114,0.0006127451,0.0011096316,0.2065291317,0.2676130853
"Dolichotis_patagonum","RODENTIA","Herbivore","captive","NT",1,5.7986085411,0.00368481,0.0076,0.3788285895,0.0325238416,24.4294742206,0.072142628,0.2574102964,0.3405594406,0.0015600624,0.0027972028,0.2141401223,0.3045733229
